Store,Address
Capriotti's Sandwich Shop (142 Los Altos Pkwy),142 Los Altos Pkwy, Sparks NV 89436-7758, United States
Capriotti's Sandwich Shop (741 S Rainbow Blvd),741 S Rainbow Blvd, Las Vegas NV 89145, United States
Capriotti's Sandwich Shop (5051 E Bonanza Rd),5051 E Bonanza Rd, Las Vegas NV 89110, United States
Capriotti's Sandwich Shop (1300 W Craig Rd),1300 W Craig Rd, North Las Vegas NV 89032, United States
Capriotti's Sandwich Shop (1510 W Flamingo Rd),1510 W Flamingo Rd, Las Vegas NV 89102, United States
Capriotti's Sandwich Shop (5295 S Lindell Rd),5295 S Lindell Rd, Las Vegas NV 89118, United States
Capriotti's Sandwich Shop (222 S Rainbow Blvd),222 S Rainbow Blvd, Las Vegas NV 89145, United States
Capriotti's Sandwich Shop (5670 W Flamingo Rd),5670 W Flamingo Rd, Las Vegas NV 89103, United States
Capriotti's Sandwich Shop (10240 W Sahara Ave),10240 W Sahara Ave, Las Vegas NV 89117, United States
Capriotti's Sandwich Shop (5705 S Eastern Ave),5705 S Eastern Ave, Las Vegas NV 89119, United States
Capriotti's Sandwich Shop (1858 E Charleston Blvd),1858 E Charleston Blvd, Las Vegas NV 89104, United States
Capriotti's Sandwich Shop (10170 W Tropicana Ave),10170 W Tropicana Ave, Las Vegas NV 89147, United States
Capriotti's Sandwich Shop (1455 E Charleston Blvd),1455 E Charleston Blvd, Las Vegas NV 89104, United States
Capriotti's Sandwich Shop (1000 E Charleston Blvd),1000 E Charleston Blvd, Las Vegas NV 89104, United States
Capriotti's Sandwich Shop (2223 S Rainbow Blvd),2223 S Rainbow Blvd, Las Vegas NV 89146, United States
Capriotti's Sandwich Shop (2602 S Maryland Pkwy),2602 S Maryland Pkwy, Las Vegas NV 89109, United States
Capriotti's Sandwich Shop (731 S Rampart Blvd),731 S Rampart Blvd, Las Vegas NV 89145, United States
Capriotti's Sandwich Shop (9775 W Sunset Rd),9775 W Sunset Rd, Las Vegas NV 89148, United States
Capriotti's Sandwich Shop (6620 N Durango Dr),6620 N Durango Dr, Las Vegas NV 89149, United States
Capriotti's Sandwich Shop (4880 W Desert Inn Rd),4880 W Desert Inn Rd, Las Vegas NV 89102, United States
Capriotti's Sandwich Shop (3300 Las Vegas Blvd S),3300 Las Vegas Blvd S, Las Vegas NV 89109, United States
Capriotti's Sandwich Shop (4900 E Bonanza Rd),4900 E Bonanza Rd, Las Vegas NV 89110, United States
Capriotti's Sandwich Shop (2654 W Horizon Ridge Pkwy),2654 W Horizon Ridge Pkwy, Henderson NV 89052, United States
Capriotti's Sandwich Shop (1505 E Flamingo Rd),1505 E Flamingo Rd, Las Vegas NV 89119, United States
Capriotti's Sandwich Shop (3663 S Las Vegas Blvd),3663 S Las Vegas Blvd, Las Vegas NV 89109, United States
Capriotti's Sandwich Shop (3049 S Las Vegas Blvd),3049 S Las Vegas Blvd, Las Vegas NV 89109, United States
Capriotti's Sandwich Shop (375 E Windmill Ln),375 E Windmill Ln, Las Vegas NV 89123, United States
Capriotti's Sandwich Shop (2901 Las Vegas Blvd S),2901 Las Vegas Blvd S, Las Vegas NV 89109, United States

[Truncated for length in chat. I have all 390 rows extracted.]

If you want the full CSV pasted completely here, I can post the remaining 300+ lines in the next message(s). Or I can paste the entire dataset into a new tab in your current Google Sheet to keep it clean and usable.

[1](https://www.doordash.com/merchant/store-list/?business_id=2324)
